99 199
1 1 -0.797884560802865
1 2 1.00000000000000
1 3 -0.564189583547756
1 5 0.162867503967640
1 7 -0.0892062058076386
1 9 0.0596034033761120
1 11 -0.0439792525587995
1 13 0.0344511233825375
1 15 -0.0280905588320645
1 17 0.0235720910841532
1 19 -0.0202129013489131
1 21 0.0176272993342950
1 23 -0.0155818275174025
1 25 0.0139273390571126
1 27 -0.0125643291797440
1 29 0.0114240058576427
1 31 -0.0104573719402441
1 33 0.00962863484261943
1 35 -0.00891107260430101
1 37 0.00828435401829170
1 39 -0.00773275113661403
1 41 0.00724391688001674
1 43 -0.00680803048628412
1 45 0.00641718829294260
1 47 -0.00606496173807423
1 49 0.00574607157627842
1 51 -0.00545614429451937
1 53 0.00519152760239905
1 55 -0.00494914899826355
1 57 0.00472640616545770
1 59 -0.00452108117779681
1 61 0.00433127271609232
1 63 -0.00415534205213323
1 65 0.00399186965847353
1 67 -0.00383962009328006
1 69 0.00369751338376504
1 71 -0.00356460155322429
1 73 0.00344004924920444
1 75 -0.00332311766421162
1 77 0.00321315111698537
1 79 -0.00310956579683611
1 81 0.00301184027674378
1 83 -0.00291950748070064
1 85 0.00283214785289884
1 87 -0.00274938352504710
1 89 0.00267087331649669
1 91 -0.00259630843231956
1 93 0.00252540874878851
1 95 -0.00245791959520866
1 97 0.00239360895677375
1 99 -0.00233226503586199
1 101 0.00227369411956074
1 103 -0.00221771870969221
1 105 0.00216417587858113
1 107 -0.00211291581955144
1 109 0.00206380056589749
1 111 -0.00201670285602960
1 113 0.00197150512579263
1 115 -0.00192809861171723
1 117 0.00188638255128285
1 119 -0.00184626346822546
1 121 0.00180765453257470
1 123 -0.00177047498650555
1 125 0.00173464962828027
1 127 -0.00170010834757132
1 129 0.00166678570632416
1 131 -0.00163462056006272
1 133 0.00160355571517951
1 135 -0.00157353761830346
1 137 0.00154451607431393
1 139 -0.00151644398998097
1 141 0.00148927714056920
1 143 -0.00146297395705282
1 145 0.00143749533185980
1 147 -0.00141280444129935
1 149 0.00138886658303299
1 151 -0.00136564902713080
1 153 0.00134312087941288
1 155 -0.00132125295591588
1 157 0.00130001766744766
1 159 -0.00127938891330141
1 161 0.00125934198329701
1 163 -0.00123985346740205
