20 40
1 2 1.00000000000000
2 3 -0.921317731923561
2 4 1.00000000000000
2 5 -0.531923040535244
2 7 0.145673124078944
2 9 -0.0778655601092025
2 11 0.0512984419228811
2 13 -0.0375056326012815
2 15 0.0291910757634743
2 17 -0.0236880391083422
2 19 0.0198045178104204
2 21 -0.0169325054558135
2 23 0.0147313260861276
2 25 -0.0129961425389184
2 27 0.0115968272712912
2 29 -0.0104469811300552
2 31 0.00948712048299874
2 33 -0.00867503164469003
2 35 0.00797997582805023
2 37 -0.00737906916123277
2 39 0.00685494470971408
3 3 0.412025815491402
3 5 -0.713649646461108
3 6 1.00000000000000
3 7 -0.586323014283504
3 9 0.174112685510273
3 11 -0.0963537147546851
3 13 0.0646959682560325
3 15 -0.0478670351452151
3 17 0.0375591738599480
3 19 -0.0306583255977959
3 21 0.0257463185954378
3 23 -0.0220893417888934
3 25 0.0192715396234188
3 27 -0.0170405646955543
3 29 0.0152348869346485
3 31 -0.0137465724093438
3 33 0.0125009078548927
3 35 -0.0114446238769674
3 37 0.0105387737113787
3 39 -0.00975425967913298
4 3 -0.286096336205338
4 5 0.275296327870529
4 7 -0.678537039478621
4 8 1.00000000000000
4 9 -0.604488839515453
4 11 0.185846262099247
4 13 -0.104819448624943
4 15 0.0712225659438631
4 17 -0.0531254748603206
4 19 0.0419310480488114
4 21 -0.0343795085348136
4 23 0.0289719052101130
4 25 -0.0249262938236442
4 27 0.0217964765420390
4 29 -0.0193100943132604
4 31 0.0172919198906920
4 33 -0.0156243488725767
4 35 0.0142256584152484
4 37 -0.0130373820860956
4 39 0.0120166435116248
5 3 0.224778510448245
5 5 -0.181686306921472
5 7 0.248784221726744
5 9 -0.664903800669054
5 10 1.00000000000000
5 11 -0.613261376879900
5 13 0.192159185355750
5 15 -0.109677155923030
5 17 0.0751307670549763
5 19 -0.0563710885963743
5 21 0.0446910809962284
5 23 -0.0367701575553214
5 25 0.0310731943068609
5 27 -0.0267954776085876
5 29 0.0234758116869703
5 31 -0.0208315835357175
5 33 0.0186803336415371
5 35 -0.0168992200142062
5 37 0.0154026396728036
5 39 -0.0141291944427215
6 3 -0.187528163006407
6 5 0.139203559790210
6 7 -0.160114352542446
6 9 0.237735337269432
6 11 -0.657812002819755
6 12 1.00000000000000
6 13 -0.618356006156083
6 15 0.196074497001496
6 17 -0.112824141708986
6 19 0.0777422437754827
6 21 -0.0585905014789165
6 23 0.0466124937121684
6 25 -0.0384582915432057
6 27 0.0325743189624642
6 29 -0.0281437183931236
6 31 0.0246969975254845
6 33 -0.0219456955436853
6 35 0.0197031204672261
6 37 -0.0178432964549325
6 39 0.0162782538000849
7 3 0.162154108054847
7 5 -0.114424099699152
7 7 0.120868702445788
7 9 -0.150749757778688
7 11 0.231735287437179
7 13 -0.653506957356401
7 14 1.00000000000000
7 15 -0.621661534819591
7 17 0.198729536681538
7 19 -0.115026190988322
7 21 0.0796128766629411
7 23 -0.0602093786698714
7 25 0.0480343907418283
7 27 -0.0397223453949866
7 29 0.0337093804729087
7 31 -0.0291716147725232
7 33 0.0256346077051110
7 35 -0.0228063185447966
7 37 0.0204974056372025
7 39 -0.0185798927584545
8 3 -0.143601105435645
8 5 0.0979823435845063
8 7 -0.0983897563338355
8 9 0.112696150582464
8 11 -0.145520412077675
8 13 0.227986670053701
8 15 -0.650630609032810
8 16 1.00000000000000
8 17 -0.623970660440366
8 19 0.200643910192424
8 21 -0.116651908056582
8 23 0.0810194162104868
